item_id,features
10,"Counter-Strike, Valve, 2000"
30,"Day of Defeat, Valve, 2003"
300,"Day of Defeat: Source, Valve, 2010"
240,"Counter-Strike: Source, Valve, 2004"
3830,"Psychonauts, Double Fine Productions, 2005"
2630,"Call of Duty® 2, Infinity Ward,Aspyr (Mac), 2005"
3900,"Sid Meier's Civilization® IV, Firaxis Games, 2005"
3920,"Sid Meier's Pirates!, Firaxis Games, 2005"
6910,"Deus Ex: Game of the Year Edition, Ion Storm, 2000"
7670,"BioShock™, 2K Boston,2K Australia, 2007"
220,"Half-Life 2, Valve, 2004"
340,"Half-Life 2: Lost Coast, Valve, 2005"
380,"Half-Life 2: Episode One, Valve, 2006"
400,"Portal, Valve, 2007"
420,"Half-Life 2: Episode Two, Valve, 2007"
7940,"Call of Duty® 4: Modern Warfare®, Infinity Ward,Aspyr (Mac), 2007"
4700,"Medieval II: Total War™, The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux), 2006"
12900,"AudioSurf, Dylan Fitterer, 2008"
15700,"Oddworld: Abe's Oddysee®, Oddworld Inhabitants, 1997"
17330,"Crysis Warhead®, Crytek, 2008"
22000,"World of Goo, 2D BOY, 2008"
500,"Left 4 Dead, Valve, 2008"
4560,"Company of Heroes - Legacy Edition, Relic Entertainment, 2006"
17460,"Mass Effect, BioWare, 2008"
10500,"Empire: Total War™, The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux), 2009"
22200,"Zeno Clash, ACE Team, 2009"
26800,"Braid, Number None, 2009"
1250,"Killing Floor, Tripwire Interactive, 2009"
3590,"Plants vs. Zombies GOTY Edition, PopCap Games, Inc., 2009"
35700,"Trine Enchanted Edition, Frozenbyte, 2009"
10140,"3D Ultra™ Minigolf Adventures, Wanako Games, 2006"
29180,"Osmos, Hemisphere Games, 2009"
15520,"AaAaAA!!! - A Reckless Disregard for Gravity, Dejobaan Games, LLC, 2009"
32370,"STAR WARS™ - Knights of the Old Republic™, BioWare,Aspyr (Mac), 2003"
6020,"STAR WARS™ Jedi Knight - Jedi Academy™, Raven Software,Aspyr (Mac), 2003"
550,"Left 4 Dead 2, Valve, 2009"
8980,"Borderlands, Gearbox Software, 2009"
41500,"Torchlight, Runic Games, 2009"
20900,"The Witcher: Enhanced Edition Director's Cut, CD PROJEKT RED, 2008"
10180,"Call of Duty®: Modern Warfare® 2, Infinity Ward,Aspyr (Mac), 2009"
17450,"Dragon Age: Origins, BioWare, 2009"
25900,"King's Bounty: The Legend, 1C Company, 2008"
24980,"Mass Effect 2, BioWare, 2010"
8850,"BioShock® 2, 2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac), 2010"
33230,"Assassin's Creed 2 Deluxe Edition, Ubisoft Montreal, 2010"
47700,"Command &amp; Conquer 4: Tiberian Twilight, EA Los Angeles, 2010"
